"Gender,""Age"",""openness"",""neuroticism"",""conscientiousness"",""agreeableness"",""extraversion"",""personality"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""dependable"""
"Male,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Sedang"",""Cukup"",""lively"""
"Male,""Remaja"",""Sedang"",""Baik"",""Cukup"",""Sedang"",""Cukup"",""serious"""
"Female,""Remaja"",""Baik"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""lively"""
"Female,""Remaja"",""Baik"",""Sedang"",""Sedang"",""Baik"",""Sedang"",""responsible"""
"Female,""Remaja"",""Baik"",""Baik"",""Sedang"",""Baik"",""Cukup"",""responsible"""
"Female,""Remaja"",""Baik"",""Sedang"",""Baik"",""Baik"",""Kurang"",""dependable"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""Sedang"",""serious"""
"Male,""Remaja"",""Cukup"",""Sedang"",""Cukup"",""Cukup"",""Kurang"",""dependable"""
"Female,""Remaja"",""Sedang"",""Baik"",""Sedang"",""Sedang"",""Sedang"",""extraverted"""
"Female,""Remaja"",""Baik"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""serious"""
"Female,""Remaja"",""Sedang"",""Baik"",""Sedang"",""Sedang"",""Cukup"",""extraverted"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Baik"",""Sedang"",""Cukup"",""dependable"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""dependable"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Cukup"",""Cukup"",""responsible"""
"Female,""Remaja"",""Baik"",""Sedang"",""Sedang"",""Cukup"",""Cukup"",""serious"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Cukup"",""Sedang"",""Kurang"",""lively"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Sedang"",""Cukup"",""lively"""
"Female,""Remaja"",""Cukup"",""Cukup"",""Sedang"",""Sedang"",""Kurang"",""extraverted"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Cukup"",""Sedang"",""Kurang"",""extraverted"""
"Male,""Remaja"",""Sedang"",""Cukup"",""Cukup"",""Sedang"",""Sedang"",""serious"""
"Female,""Remaja"",""Sedang"",""Baik"",""Cukup"",""Cukup"",""Sedang"",""extraverted"""
"Female,""Remaja"",""Baik"",""Sedang"",""Baik"",""Cukup"",""Sedang"",""lively"""
"Male,""Remaja"",""Baik"",""Sedang"",""Sedang"",""Cukup"",""Cukup"",""lively"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""Cukup"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""Cukup"",""dependable"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""Baik"",""lively"""
"Male,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Kurang"",""Cukup"",""lively"""
"Male,""Remaja"",""Cukup"",""Baik"",""Kurang"",""Sedang"",""Baik"",""responsible"""
"Female,""Remaja"",""Baik"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""Kurang"",""responsible"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Kurang"",""Sedang"",""Sedang"",""dependable"""
"Female,""Remaja"",""Baik"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""serious"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""serious"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""Cukup"",""responsible"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""dependable"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""responsible"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Baik"",""Cukup"",""dependable"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Cukup"",""Cukup"",""extraverted"""
"Male,""Remaja"",""Baik"",""Sedang"",""Sedang"",""Sedang"",""Baik"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""responsible"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Cukup"",""Cukup"",""dependable"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Sedang"",""Sedang"",""responsible"""
"Female,""Remaja"",""Baik"",""Cukup"",""Sedang"",""Sedang"",""Cukup"",""serious"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Cukup"",""Cukup"",""Kurang"",""extraverted"""
"Female,""Remaja"",""Baik"",""Cukup"",""Sedang"",""Sedang"",""Sedang"",""dependable"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Sedang"",""Sedang"",""lively"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Cukup"",""Sedang"",""Kurang"",""lively"""
"Male,""Remaja"",""Cukup"",""Sedang"",""Cukup"",""Cukup"",""Kurang"",""extraverted"""
"Female,""Remaja"",""Baik"",""Sedang"",""Baik"",""Sedang"",""Kurang"",""lively"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""serious"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""Kurang"",""responsible"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Cukup"",""Sedang"",""Cukup"",""extraverted"""
"Male,""Remaja"",""Baik"",""Sedang"",""Baik"",""Sedang"",""Kurang"",""serious"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Baik"",""Cukup"",""Cukup"",""dependable"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Kurang"",""Kurang"",""Cukup"",""serious"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""dependable"""
"Male,""Remaja"",""Sedang"",""Baik"",""Sedang"",""Sedang"",""Cukup"",""responsible"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Cukup"",""Sedang"",""dependable"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""Cukup"",""extraverted"""
"Female,""Remaja"",""Baik"",""Sedang"",""Kurang"",""Cukup"",""Cukup"",""extraverted"""
"Male,""Remaja"",""Cukup"",""Cukup"",""Cukup"",""Cukup"",""Cukup"",""serious"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""lively"""
"Male,""Remaja"",""Cukup"",""Sedang"",""Sedang"",""Kurang"",""Cukup"",""responsible"""
"Female,""Remaja"",""Cukup"",""Cukup"",""Sedang"",""Baik"",""Cukup"",""dependable"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""Cukup"",""lively"""
"Male,""Remaja"",""Kurang"",""Sedang"",""Cukup"",""Sedang"",""Cukup"",""serious"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Kurang"",""Kurang"",""Kurang"",""responsible"""
"Male,""Remaja"",""Sedang"",""Cukup"",""Cukup"",""Sedang"",""Kurang"",""responsible"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Kurang"",""Cukup"",""Cukup"",""lively"""
"Male,""Dewasa"",""Baik"",""Sedang"",""Sedang"",""Baik"",""Cukup"",""dependable"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Baik"",""Sedang"",""dependable"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Cukup"",""Sedang"",""Kurang"",""lively"""
"Female,""Remaja"",""Baik"",""Sedang"",""Cukup"",""Kurang"",""Kurang"",""extraverted"""
"Female,""Remaja"",""Baik"",""Cukup"",""Baik"",""Cukup"",""Baik"",""responsible"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Sedang"",""Kurang"",""Sedang"",""lively"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Kurang"",""Cukup"",""extraverted"""
"Male,""Remaja"",""Baik"",""Sedang"",""Cukup"",""Sedang"",""Cukup"",""dependable"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""Kurang"",""serious"""
"Female,""Remaja"",""Baik"",""Sedang"",""Baik"",""Kurang"",""Sedang"",""serious"""
"Female,""Remaja"",""Baik"",""Cukup"",""Cukup"",""Sedang"",""Cukup"",""lively"""
"Male,""Remaja"",""Cukup"",""Cukup"",""Cukup"",""Kurang"",""Sedang"",""lively"""
"Male,""Remaja"",""Kurang"",""Sedang"",""Sedang"",""Baik"",""Sedang"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Sedang"",""Sedang"",""Sedang"",""responsible"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Sedang"",""Kurang"",""Cukup"",""dependable"""
"Male,""Remaja"",""Cukup"",""Sedang"",""Baik"",""Sedang"",""Sedang"",""dependable"""
"Female,""Dewasa"",""Sedang"",""Cukup"",""Sedang"",""Sedang"",""Cukup"",""responsible"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Cukup"",""Baik"",""Sedang"",""dependable"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""responsible"""
"Male,""Remaja"",""Baik"",""Sedang"",""Baik"",""Kurang"",""Kurang"",""serious"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""serious"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""lively"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Sedang"",""Kurang"",""serious"""
"Male,""Dewasa"",""Baik"",""Cukup"",""Sedang"",""Cukup"",""Cukup"",""extraverted"""
"Female,""Remaja"",""Kurang"",""Sedang"",""Cukup"",""Sedang"",""Kurang"",""serious"""
"Male,""Remaja"",""Sedang"",""Baik"",""Baik"",""Sedang"",""Kurang"",""extraverted"""
"Male,""Remaja"",""Baik"",""Kurang"",""Cukup"",""Sedang"",""Cukup"",""responsible"""
"Female,""Remaja"",""Cukup"",""Kurang"",""Sedang"",""Sedang"",""Kurang"",""responsible"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Cukup"",""Sedang"",""Cukup"",""lively"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Sedang"",""Baik"",""Cukup"",""extraverted"""
"Female,""Remaja"",""Baik"",""Kurang"",""Cukup"",""Cukup"",""Sedang"",""responsible"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""Cukup"",""serious"""
"Female,""Remaja"",""Cukup"",""Cukup"",""Baik"",""Sedang"",""Cukup"",""responsible"""
"Female,""Remaja"",""Cukup"",""Baik"",""Sedang"",""Sedang"",""Cukup"",""serious"""
"Female,""Remaja"",""Cukup"",""Baik"",""Sedang"",""Kurang"",""Sedang"",""serious"""
"Male,""Remaja"",""Kurang"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""extraverted"""
"Male,""Remaja"",""Sedang"",""Kurang"",""Sedang"",""Sedang"",""Cukup"",""extraverted"""
"Female,""Remaja"",""Baik"",""Sedang"",""Sedang"",""Kurang"",""Sedang"",""dependable"""
"Female,""Remaja"",""Baik"",""Baik"",""Sedang"",""Sedang"",""Kurang"",""dependable"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Baik"",""Sedang"",""Cukup"",""lively"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Baik"",""Baik"",""lively"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Kurang"",""Sedang"",""dependable"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Sedang"",""Kurang"",""Sedang"",""responsible"""
"Male,""Remaja"",""Cukup"",""Sedang"",""Baik"",""Sedang"",""Sedang"",""serious"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Sedang"",""Cukup"",""Cukup"",""serious"""
"Male,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Baik"",""Cukup"",""serious"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Sedang"",""Baik"",""extraverted"""
"Male,""Remaja"",""Sedang"",""Cukup"",""Cukup"",""Sedang"",""Sedang"",""serious"""
"Female,""Remaja"",""Cukup"",""Cukup"",""Baik"",""Baik"",""Baik"",""extraverted"""
"Female,""Remaja"",""Baik"",""Sedang"",""Cukup"",""Kurang"",""Sedang"",""dependable"""
"Female,""Remaja"",""Cukup"",""Kurang"",""Baik"",""Sedang"",""Sedang"",""responsible"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Cukup"",""Baik"",""Sedang"",""lively"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Cukup"",""Kurang"",""Baik"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Kurang"",""Kurang"",""Cukup"",""dependable"""
"Female,""Remaja"",""Kurang"",""Kurang"",""Cukup"",""Cukup"",""Cukup"",""serious"""
"Male,""Remaja"",""Sedang"",""Cukup"",""Kurang"",""Cukup"",""Cukup"",""responsible"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""extraverted"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""Kurang"",""lively"""
"Male,""Remaja"",""Kurang"",""Sedang"",""Cukup"",""Baik"",""Kurang"",""serious"""
"Female,""Remaja"",""Cukup"",""Baik"",""Sedang"",""Cukup"",""Sedang"",""extraverted"""
"Female,""Remaja"",""Cukup"",""Baik"",""Cukup"",""Baik"",""Cukup"",""dependable"""
"Female,""Remaja"",""Kurang"",""Kurang"",""Sedang"",""Sedang"",""Sedang"",""dependable"""
"Female,""Remaja"",""Baik"",""Sedang"",""Sedang"",""Sedang"",""Baik"",""dependable"""
"Female,""Remaja"",""Sedang"",""Baik"",""Baik"",""Baik"",""Cukup"",""responsible"""
"Male,""Remaja"",""Sedang"",""Baik"",""Sedang"",""Cukup"",""Kurang"",""dependable"""
"Female,""Remaja"",""Baik"",""Cukup"",""Cukup"",""Cukup"",""Sedang"",""responsible"""
"Male,""Dewasa"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""Baik"",""lively"""
"Male,""Remaja"",""Kurang"",""Baik"",""Kurang"",""Sedang"",""Kurang"",""responsible"""
"Male,""Remaja"",""Sedang"",""Cukup"",""Cukup"",""Sedang"",""Kurang"",""lively"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Cukup"",""Kurang"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Kurang"",""Sedang"",""Kurang"",""extraverted"""
"Male,""Remaja"",""Sedang"",""Cukup"",""Kurang"",""Cukup"",""Cukup"",""responsible"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Kurang"",""Sedang"",""Cukup"",""serious"""
"Female,""Remaja"",""Sedang"",""Baik"",""Kurang"",""Cukup"",""Kurang"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Kurang"",""Kurang"",""Sedang"",""lively"""
"Male,""Remaja"",""Baik"",""Baik"",""Kurang"",""Kurang"",""Kurang"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Kurang"",""Baik"",""Cukup"",""extraverted"""
"Male,""Remaja"",""Sedang"",""Cukup"",""Kurang"",""Sedang"",""Sedang"",""serious"""
"Female,""Remaja"",""Sedang"",""Baik"",""Kurang"",""Sedang"",""Sedang"",""serious"""
"Male,""Remaja"",""Cukup"",""Sedang"",""Sedang"",""Cukup"",""Cukup"",""serious"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Cukup"",""Sedang"",""Kurang"",""responsible"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Sedang"",""Cukup"",""Sedang"",""serious"""
"Female,""Dewasa"",""Sedang"",""Kurang"",""Cukup"",""Baik"",""Sedang"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Baik"",""Kurang"",""Baik"",""Baik"",""lively"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Kurang"",""Baik"",""Cukup"",""lively"""
"Male,""Remaja"",""Sedang"",""Baik"",""Kurang"",""Cukup"",""Sedang"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Baik"",""Cukup"",""Cukup"",""Sedang"",""serious"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Kurang"",""Baik"",""Kurang"",""dependable"""
"Male,""Remaja"",""Cukup"",""Cukup"",""Baik"",""Sedang"",""Sedang"",""serious"""
"Male,""Remaja"",""Cukup"",""Cukup"",""Baik"",""Sedang"",""Sedang"",""lively"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Cukup"",""Cukup"",""Kurang"",""responsible"""
"Male,""Remaja"",""Sedang"",""Cukup"",""Kurang"",""Sedang"",""Baik"",""lively"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Cukup"",""Sedang"",""Kurang"",""serious"""
"Male,""Remaja"",""Cukup"",""Sedang"",""Sedang"",""Baik"",""Sedang"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Kurang"",""Sedang"",""Sedang"",""extraverted"""
"Female,""Remaja"",""Kurang"",""Baik"",""Kurang"",""Cukup"",""Cukup"",""responsible"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Kurang"",""Kurang"",""Kurang"",""lively"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""Kurang"",""extraverted"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Kurang"",""Baik"",""Cukup"",""dependable"""
"Male,""Remaja"",""Cukup"",""Baik"",""Cukup"",""Sedang"",""Cukup"",""responsible"""
"Male,""Remaja"",""Sedang"",""Kurang"",""Kurang"",""Sedang"",""Sedang"",""serious"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Cukup"",""Sedang"",""Sedang"",""responsible"""
"Male,""Remaja"",""Baik"",""Kurang"",""Kurang"",""Baik"",""Sedang"",""dependable"""
"Male,""Remaja"",""Cukup"",""Cukup"",""Cukup"",""Sedang"",""Cukup"",""responsible"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Kurang"",""Baik"",""Sedang"",""serious"""
"Female,""Remaja"",""Kurang"",""Sedang"",""Baik"",""Baik"",""Baik"",""dependable"""
"Male,""Remaja"",""Sedang"",""Kurang"",""Kurang"",""Baik"",""Cukup"",""serious"""
"Male,""Remaja"",""Sedang"",""Kurang"",""Kurang"",""Kurang"",""Cukup"",""lively"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""extraverted"""
"Female,""Remaja"",""Cukup"",""Cukup"",""Cukup"",""Baik"",""Sedang"",""serious"""
"Female,""Remaja"",""Cukup"",""Kurang"",""Kurang"",""Cukup"",""Sedang"",""dependable"""
"Male,""Remaja"",""Cukup"",""Cukup"",""Cukup"",""Baik"",""Baik"",""serious"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Sedang"",""Baik"",""Sedang"",""lively"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Baik"",""Sedang"",""extraverted"""
"Male,""Remaja"",""Sedang"",""Kurang"",""Baik"",""Sedang"",""Kurang"",""lively"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Cukup"",""Sedang"",""Cukup"",""responsible"""
"Female,""Remaja"",""Cukup"",""Kurang"",""Kurang"",""Baik"",""Sedang"",""responsible"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Sedang"",""Baik"",""Baik"",""extraverted"""
"Male,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Sedang"",""Cukup"",""serious"""
"Male,""Remaja"",""Baik"",""Kurang"",""Kurang"",""Sedang"",""Cukup"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Cukup"",""Baik"",""Sedang"",""responsible"""
"Male,""Remaja"",""Kurang"",""Kurang"",""Cukup"",""Baik"",""Sedang"",""responsible"""
"Female,""Remaja"",""Cukup"",""Kurang"",""Cukup"",""Baik"",""Cukup"",""responsible"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""Cukup"",""dependable"""
"Male,""Remaja"",""Sedang"",""Kurang"",""Sedang"",""Sedang"",""Sedang"",""dependable"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Baik"",""Sedang"",""Sedang"",""dependable"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Kurang"",""Sedang"",""Cukup"",""responsible"""
"Male,""Remaja"",""Baik"",""Kurang"",""Sedang"",""Cukup"",""Cukup"",""serious"""
"Male,""Remaja"",""Sedang"",""Baik"",""Sedang"",""Sedang"",""Cukup"",""extraverted"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""serious"""
"Male,""Remaja"",""Cukup"",""Cukup"",""Cukup"",""Kurang"",""Sedang"",""lively"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Kurang"",""Baik"",""Baik"",""extraverted"""
"Male,""Remaja"",""Baik"",""Kurang"",""Cukup"",""Sedang"",""Sedang"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""dependable"""
"Male,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Sedang"",""Sedang"",""lively"""
"Male,""Remaja"",""Kurang"",""Kurang"",""Sedang"",""Sedang"",""Sedang"",""lively"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Cukup"",""Sedang"",""Baik"",""serious"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Cukup"",""Baik"",""Sedang"",""responsible"""
"Male,""Remaja"",""Sedang"",""Cukup"",""Kurang"",""Baik"",""Baik"",""dependable"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Cukup"",""Sedang"",""Cukup"",""responsible"""
"Male,""Remaja"",""Cukup"",""Cukup"",""Kurang"",""Cukup"",""Sedang"",""extraverted"""
"Male,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Baik"",""Sedang"",""responsible"""
"Female,""Remaja"",""Sedang"",""Cukup"",""Sedang"",""Sedang"",""Sedang"",""extraverted"""
"Female,""Remaja"",""Sedang"",""Kurang"",""Kurang"",""Baik"",""Sedang"",""serious"""
"Female,""Remaja"",""Baik"",""Cukup"",""Cukup"",""Kurang"",""Sedang"",""dependable"""
"Male,""Remaja"",""Sedang"",""Kurang"",""Sedang"",""Cukup"",""Sedang"",""extraverted"""
"Male,""Remaja"",""Sedang"",""Baik"",""Sedang"",""Sedang"",""Sedang"",""extraverted"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Sedang"",""Cukup"",""Cukup"",""dependable"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Kurang"",""Cukup"",""Baik"",""responsible"""
"Male,""Remaja"",""Cukup"",""Cukup"",""Cukup"",""Cukup"",""Baik"",""lively"""
"Male,""Remaja"",""Sedang"",""Baik"",""Kurang"",""Sedang"",""Sedang"",""serious"""
"Male,""Remaja"",""Kurang"",""Sedang"",""Baik"",""Cukup"",""Sedang"",""serious"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Cukup"",""Baik"",""serious"""
"Female,""Remaja"",""Cukup"",""Sedang"",""Cukup"",""Cukup"",""Cukup"",""extraverted"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Sedang"",""Kurang"",""dependable"""
"Female,""Remaja"",""Baik"",""Cukup"",""Cukup"",""Sedang"",""Sedang"",""responsible"""
"Male,""Remaja"",""Cukup"",""Cukup"",""Sedang"",""Kurang"",""Sedang"",""dependable"""
"Female,""Remaja"",""Cukup"",""Cukup"",""Baik"",""Sedang"",""Cukup"",""lively"""
"Male,""Remaja"",""Kurang"",""Sedang"",""Sedang"",""Kurang"",""Sedang"",""responsible"""
"Male,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Cukup"",""Cukup"",""lively"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Cukup"",""Baik"",""Sedang"",""extraverted"""
"Male,""Remaja"",""Baik"",""Baik"",""Kurang"",""Sedang"",""Cukup"",""serious"""
"Male,""Remaja"",""Cukup"",""Baik"",""Baik"",""Cukup"",""Sedang"",""responsible"""
"Female,""Remaja"",""Sedang"",""Sedang"",""Sedang"",""Cukup"",""Sedang"",""responsible"""
